x,y,label
7.20159,-12.11026,0.00000
-7.33544,-8.59965,0.00000
7.37553,9.74025,1.00000
13.65342,-3.13189,0.00000
10.08074,3.23804,1.00000
5.71897,-12.73967,0.00000
4.59884,-13.16943,0.00000
0.44843,-6.50570,1.00000
4.08768,-13.09076,0.00000
7.47705,9.48790,1.00000
-11.53498,9.07621,1.00000
-5.00252,13.21366,1.00000
4.10471,11.05060,1.00000
10.64990,0.43949,1.00000
8.78594,6.49060,1.00000
-5.97946,-10.33430,0.00000
7.56366,7.31325,1.00000
-4.32956,4.90731,0.00000
2.00967,5.53126,0.00000
7.86818,6.60787,1.00000
-0.02912,-7.04116,1.00000
-7.67965,-8.17932,0.00000
10.00883,-8.47810,0.00000
-0.60345,14.09276,1.00000
-10.14558,-7.33741,0.00000
-7.66782,-8.74820,0.00000
6.18468,-4.22184,1.00000
13.06055,-8.50407,0.00000
9.46552,-8.82260,0.00000
11.40531,-5.77811,0.00000
9.58240,8.38951,1.00000
16.52357,-0.28549,0.00000
7.89049,9.02187,1.00000
15.54332,-2.67742,0.00000
-0.82189,-11.59309,0.00000
-10.48144,-1.64558,0.00000
-6.17455,-8.36232,0.00000
1.35352,-15.08680,0.00000
13.75270,-7.00099,0.00000
1.20478,2.37568,0.00000
-9.25781,0.54531,0.00000
5.25228,-12.52681,0.00000
-0.50925,6.12829,0.00000
16.28751,-0.62968,0.00000
1.91656,11.85358,1.00000
13.35418,-9.61478,0.00000
-3.83238,-11.12882,0.00000
10.57602,0.69446,1.00000
7.64976,9.39825,1.00000
-11.65240,9.65736,1.00000
13.50344,-7.19339,0.00000
-0.43190,-14.72322,0.00000
9.27288,5.10442,1.00000
-8.95704,2.30373,0.00000
3.68764,-6.71040,1.00000
-15.24426,4.77194,1.00000
10.59814,-5.54526,0.00000
-3.64076,12.88593,1.00000
-12.34437,7.23790,1.00000
11.30792,-9.81161,0.00000
3.82774,-12.58193,0.00000
1.52243,-6.37970,1.00000
13.83753,-7.80979,0.00000
-1.34039,-13.30121,0.00000
12.50238,-8.41097,0.00000
9.10938,4.13526,1.00000
6.30741,9.93944,1.00000
1.70559,12.32209,1.00000
9.96999,-1.24369,1.00000
-1.81852,6.92167,0.00000
3.56874,-10.37182,0.00000
0.11415,11.82447,1.00000
1.62942,-6.94822,1.00000
-7.73768,-5.77164,0.00000
-14.40925,0.56125,1.00000
-9.26354,3.81382,0.00000
-9.46633,-2.62840,0.00000
15.87258,-2.41241,0.00000
1.42301,-7.51894,1.00000
-5.44342,12.23545,1.00000
-15.66438,4.43114,1.00000
6.38738,8.94063,1.00000
5.78005,-13.26754,0.00000
12.35371,-5.54398,0.00000
-2.85926,-11.98958,0.00000
-12.83307,2.84573,1.00000
-14.92308,5.36020,1.00000
8.40292,8.27679,1.00000
2.05546,3.45263,0.00000
-1.75107,13.28048,1.00000
3.70644,-5.03548,1.00000
-6.55447,2.80969,0.00000
-7.86456,-8.19313,0.00000
2.35142,-7.72640,1.00000
-13.91682,4.24807,1.00000
9.81237,-1.36064,1.00000
-13.95541,-1.50321,1.00000
-9.78856,10.18890,1.00000
9.16006,5.52544,1.00000
-7.74545,3.42410,0.00000
-9.73913,9.19047,1.00000
-6.08036,-9.48933,0.00000
14.98328,-6.58219,0.00000
3.45563,-6.52591,1.00000
-0.88034,-4.33155,1.00000
6.96904,10.36280,1.00000
-7.63318,-0.22918,0.00000
3.01101,-6.00462,1.00000
1.42255,-4.86854,1.00000
-6.70983,11.51629,1.00000
4.73039,-5.29271,1.00000
9.68793,7.11807,1.00000
-1.44451,11.69468,1.00000
8.93440,4.66487,1.00000
10.85227,3.06765,1.00000
-1.64210,-11.01566,0.00000
9.54696,-1.40963,1.00000
-9.37603,-3.88618,0.00000
-9.74235,-4.37143,0.00000
3.58746,9.38959,1.00000
-4.23839,-10.80485,0.00000
-4.14357,-11.53303,0.00000
-2.63081,-11.04216,0.00000
-10.55851,-4.27072,0.00000
11.09983,-1.11443,1.00000
-9.99575,-3.68560,0.00000
-9.36241,10.27344,1.00000
8.10750,4.85560,1.00000
-2.05631,13.92175,1.00000
-3.80700,12.91151,1.00000
-7.62400,-7.43792,0.00000
5.34627,-5.60066,1.00000
-8.38787,-1.10744,0.00000
0.87124,6.00804,0.00000
9.23325,-2.02928,1.00000
-1.20700,-4.32256,1.00000
9.43321,2.99929,1.00000
6.86430,-4.01170,1.00000
-4.73998,0.58584,1.00000
-4.38316,-9.58516,0.00000
-0.94801,-4.94878,1.00000
-7.87789,11.56158,1.00000
11.75750,-7.39646,0.00000
-12.68503,6.54843,1.00000
15.77805,-2.32089,0.00000
9.86664,4.23958,1.00000
-8.84512,-3.32569,0.00000
-3.82141,-12.06882,0.00000
-1.84294,7.81435,0.00000
-13.92795,7.13933,1.00000
2.32654,10.92667,1.00000
-9.10815,11.79318,1.00000
-13.77151,4.17336,1.00000
-0.37378,6.92826,0.00000
-6.00307,4.50178,0.00000
4.19766,-12.01794,0.00000
11.17205,1.17004,1.00000
